Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,Type local,Surface reelle bati,Surface terrain,Nombre pieces principales,mutations
13820.0,ENSUES-LA-REDONNE,13,33,,AA,19,Maison,80.0,187.0,3.0,"[{""22/07/2021"": ""120000,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AA,95,Maison,124.0,447.0,5.0,"[{""07/12/2022"": ""625000,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AA,109,Maison,79.0,171.0,4.0,"[{""18/07/2022"": ""435550,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AA,111,Maison,82.0,196.0,4.0,"[{""25/09/2023"": ""429500,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AA,198,Maison,105.0,337.0,5.0,"[{""20/10/2022"": ""517000,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AA,367,Maison,10.0,,1.0,"[{""30/12/2020"": ""200000,00""}, {""05/05/2022"": ""315000,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AA,391,Maison,133.0,1153.0,4.0,"[{""27/02/2025"": ""603700,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AA,398,Maison,90.0,,3.0,"[{""11/07/2023"": ""385000,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AC,22,Maison,94.0,577.0,4.0,"[{""25/01/2021"": ""550000,00""}, {""25/01/2021"": ""550000,00""}, {""25/01/2021"": ""550000,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AC,41,Maison,161.0,1078.0,4.0,"[{""27/04/2022"": ""762000,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AD,9,Maison,75.0,763.0,4.0,"[{""29/06/2022"": ""777850,00""}, {""29/06/2022"": ""777850,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AD,13,Maison,85.0,862.0,3.0,"[{""12/05/2021"": ""318000,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AD,48,Maison,72.0,500.0,3.0,"[{""18/12/2020"": ""585000,00""}, {""18/12/2020"": ""585000,00""}, {""24/08/2022"": ""626900,00""}, {""24/08/2022"": ""626900,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AD,56,Maison,126.0,859.0,5.0,"[{""25/07/2023"": ""600000,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AD,60,Maison,110.0,746.0,5.0,"[{""10/03/2023"": ""520000,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AD,88,Maison,136.0,867.0,3.0,"[{""29/08/2022"": ""780000,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AD,95,Maison,105.0,1003.0,4.0,"[{""30/12/2020"": ""452000,00""}]"
13820.0,ENSUES-LA-REDONNE,13,33,,AD,114,Maison,103.0,968.0,4.0,"[{""21/04/2023"": ""717000,00""}]"
