Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,insee_code,adresse,id_parcelle
,,,,,,,000001,01/02/2021,Vente,"546100,00",18,,RUE,9669,YVES LARIVEN,13005,MARSEILLE 5EME,13,205,819,D,21,,,,,,,,,,,,0,1,Maison,,65,4,S,,259,13205,"18 RUE YVES LARIVEN, 13005 MARSEILLE 5EME",132058190D0021
,,,,,,,000001,01/02/2021,Vente,"364200,00",91,,AV,4895,JOSEPH VIDAL,13008,MARSEILLE 8EME,13,208,836,K,262,,,,,,,,,,,,0,1,Maison,,21,1,S,,111,13208,"91 AV JOSEPH VIDAL, 13008 MARSEILLE 8EME",132088360K0262
,,,,,,,000001,01/02/2021,Vente,"430000,00",60,,TRA,6800,PARANGON,13008,MARSEILLE 8EME,13,208,845,L,108,,16,"85,59",,,,,,,,,1,1,Maison,,88,5,,,,13208,"60 TRA PARANGON, 13008 MARSEILLE 8EME",132088450L0108
,,,,,,,000001,01/02/2021,Vente,"410000,00",218,,AV,1570,DES CAILLOLS,13012,MARSEILLE 12EME,13,212,872,K,99,,2,"84,26",,,,,,,,,1,1,Maison,,90,4,,,,13212,"218 AV DES CAILLOLS, 13012 MARSEILLE 12EME",132128720K0099
,,,,,,,000001,01/02/2021,Vente,"325000,00",19,,IMP,4195,DU GD CHAPITEAU,13013,MARSEILLE 13EME,13,213,885,A,307,,56,,,,,,,,,,1,1,Maison,,75,4,,,,13213,"19 IMP DU GD CHAPITEAU, 13013 MARSEILLE 13EME",132138850A0307
,,,,,,,000001,01/02/2021,Vente,"159000,00",7,,BD,3780,FREZE,13015,MARSEILLE 15EME,13,215,906,D,119,,,,,,,,,,,,0,1,Maison,,75,3,S,,427,13215,"7 BD FREZE, 13015 MARSEILLE 15EME",132159060D0119
,,,,,,,000001,01/02/2021,Vente,"144900,00",7,,TRA,3303,FABRE,13016,MARSEILLE 16EME,13,216,908,K,424,,,,,,,,,,,,0,1,Maison,,84,3,S,,93,13216,"7 TRA FABRE, 13016 MARSEILLE 16EME",132169080K0424
,,,,,,,000001,01/02/2022,Vente,"99000,00",5,,RUE,1610,DU CAMBODGE,13006,MARSEILLE 6EME,13,206,828,H,175,,1,"37,16",,,,,,,,,1,1,Maison,,36,2,,,,13206,"5 RUE DU CAMBODGE, 13006 MARSEILLE 6EME",132068280H0175
,,,,,,,000001,01/02/2022,Vente,"300000,00",51,,TRA,6876,PAUL,13008,MARSEILLE 8EME,13,208,844,L,144,,54,,,,,,,,,,1,1,Maison,,290,10,,,,13208,"51 TRA PAUL, 13008 MARSEILLE 8EME",132088440L0144
,,,,,,,000001,01/02/2022,Vente,"194000,00",87,,BD,9510,VICTOR DURUY,13011,MARSEILLE 11EME,13,211,862,L,19,,,,,,,,,,,,0,1,Maison,,50,2,S,,268,13211,"87 BD VICTOR DURUY, 13011 MARSEILLE 11EME",132118620L0019
,,,,,,,000001,01/02/2022,Vente,"255000,00",3,,,B010,CAMPAGNE BOULEVARD,13015,MARSEILLE 15EME,13,215,904,L,34,,,,,,,,,,,,0,1,Maison,,110,4,S,,268,13215,"3 CAMPAGNE BOULEVARD, 13015 MARSEILLE 15EME",132159040L0034
,,,,,,,000001,01/02/2023,Vente,"895470,00",3,,AV,8703,DE LA SERANE,13008,MARSEILLE 8EME,13,208,844,L,135,,,,,,,,,,,,0,1,Maison,,90,4,S,,603,13208,"3 AV DE LA SERANE, 13008 MARSEILLE 8EME",132088440L0135
,,,,,,,000001,01/02/2023,Vente,"420100,00",21,,AV,8085,DES ROSIERS,13009,MARSEILLE 9EME,13,209,846,A,13,,,,,,,,,,,,0,1,Maison,,55,4,S,,216,13209,"21 AV DES ROSIERS, 13009 MARSEILLE 9EME",132098460A0013
,,,,,,,000001,01/02/2024,Vente,"297790,00",19,,RUE,9517,VICTOR LEYDET,13013,MARSEILLE 13EME,13,213,887,C,66,,,,,,,,,,,,0,1,Maison,,85,4,S,,300,13213,"19 RUE VICTOR LEYDET, 13013 MARSEILLE 13EME",132138870C0066
,,,,,,,000001,01/02/2024,Vente,"170000,00",303,,CHE,6965,DE LA PELOUQUE,13016,MARSEILLE 16EME,13,216,911,A,38,,,,,,,,,,,,0,1,Maison,,56,4,S,,425,13216,"303 CHE DE LA PELOUQUE, 13016 MARSEILLE 16EME",132169110A0038
,,,,,,,000001,01/02/2024,Vente,"300600,00",9006,,CHE,4083,GILBERT CHARMASSON,13016,MARSEILLE 16EME,13,216,911,A,8,,,,,,,,,,,,0,1,Maison,,70,3,S,,700,13216,"9006 CHE GILBERT CHARMASSON, 13016 MARSEILLE 16EME",132169110A0008
,,,,,,,000001,01/03/2021,Vente,"303200,00",51,,BD,9419,VELTEN,13004,MARSEILLE 4EME,13,204,817,B,88,,15,"63,99",16,,17,,20,,7,,6,1,Maison,,60,4,,,,13204,"51 BD VELTEN, 13004 MARSEILLE 4EME",132048170B0088
,,,,,,,000001,01/03/2021,Vente,"303200,00",51,,BD,9419,VELTEN,13004,MARSEILLE 4EME,13,204,817,B,88,,18,,,,,,,,,,1,1,Maison,,60,4,S,,16,13204,"51 BD VELTEN, 13004 MARSEILLE 4EME",132048170B0088
,,,,,,,000001,01/03/2021,Vente,"240000,00",31,,BD,1201,BLANC,13004,MARSEILLE 4EME,13,204,816,C,27,,,,,,,,,,,,0,1,Maison,,45,2,S,,144,13204,"31 BD BLANC, 13004 MARSEILLE 4EME",132048160C0027
,,,,,,,000001,01/03/2021,Vente,"506272,00",15,,RUE,6283,MONTPLAISIR,13007,MARSEILLE 7EME,13,207,830,L,115,,,,,,,,,,,,0,1,Maison,,101,4,S,,105,13207,"15 RUE MONTPLAISIR, 13007 MARSEILLE 7EME",132078300L0115
,,,,,,,000001,01/03/2021,Vente,"335000,00",177,,RUE,7103,PIERRE DOIZE,13010,MARSEILLE 10EME,13,210,858,O,60,,2,"89,42",,,,,,,,,1,1,Maison,,88,4,,,,13210,"177 RUE PIERRE DOIZE, 13010 MARSEILLE 10EME",132108580O0060
,,,,,,,000001,01/03/2021,Vente,"225000,00",45,,PARC,A947,DES VIEUX CYPRES,13013,MARSEILLE 13EME,13,213,880,A,23,,5084,,,,,,,,,,1,1,Maison,,68,4,,,,13213,"45 PARC DES VIEUX CYPRES, 13013 MARSEILLE 13EME",132138800A0023
,,,,,,,000001,01/03/2021,Vente,"165000,00",18,,AV,0053,DES ACACIAS,13015,MARSEILLE 15EME,13,215,905,N,1,,97,,,,,,,,,,1,1,Maison,,42,3,,,,13215,"18 AV DES ACACIAS, 13015 MARSEILLE 15EME",132159050N0001
,,,,,,,000001,01/03/2021,Vente,"85000,00",32,,RUE,2907,DRUILHE,13016,MARSEILLE 16EME,13,216,908,L,74,,2,"49,02",,,,,,,,,1,1,Maison,,48,3,,,,13216,"32 RUE DRUILHE, 13016 MARSEILLE 16EME",132169080L0074
,,,,,,,000001,01/03/2022,Vente,"200000,00",5,B,BD,8605,DES SALYENS,13008,MARSEILLE 8EME,13,208,838,E,240,,,,,,,,,,,,0,1,Maison,,45,2,S,,278,13208,"5 B BD DES SALYENS, 13008 MARSEILLE 8EME",132088380E0240
,,,,,,,000001,01/03/2022,Vente,"90000,00",44,,BD,0460,APOLLON,13011,MARSEILLE 11EME,13,211,865,I,181,,,,,,,,,,,,0,1,Maison,,96,4,S,,248,13211,"44 BD APOLLON, 13011 MARSEILLE 11EME",132118650I0181
,,,,,,,000001,01/03/2022,Vente,"460000,00",64,,TSSE,6473,DE NAZARETH,13011,MARSEILLE 11EME,13,211,867,M,288,,,,,,,,,,,,0,1,Maison,,110,4,S,,1281,13211,"64 TSSE DE NAZARETH, 13011 MARSEILLE 11EME",132118670M0288
,,,,,,,000001,01/03/2022,Vente,"814000,00",31,,ALL,3504,DES FLEURS,13012,MARSEILLE 12EME,13,212,875,D,76,,,,,,,,,,,,0,1,Maison,,145,6,S,,486,13212,"31 ALL DES FLEURS, 13012 MARSEILLE 12EME",132128750D0076
,,,,,,,000001,01/03/2022,Vente,"207000,00",454,,CHE,8253,ST ANTOINE A ST JOSEPH,13015,MARSEILLE 15EME,13,215,904,L,28,,14,"82,24",,,,,,,,,1,1,Maison,,88,5,,,,13215,"454 CHE ST ANTOINE A ST JOSEPH, 13015 MARSEILLE 15EME",132159040L0028
