insee_code,Commune,code_postal,adresse,prefixe_section,Section,No plan,id_parcelle,No voie,btq,Type de voie,Voie,surface_reelle_bati,n_sales,first_date,last_date,min_gap_days,years,first_price,last_price,ppm2_first,ppm2_last,pct_change,ann_pct,mutations
13210,MARSEILLE 10EME,13010,"28 RUE DE POLOGNE, 13010 MARSEILLE 10EME",856,C,38,132108560C0038,28.0,,RUE,DE POLOGNE,70.0,2,2021-06-25,2022-08-12,413,1.13,144000.0,240000.0,2057.0,3429.0,66.7,57.1,"[{""date_mutation"": ""2021-06-25"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 144000.0, ""surface_reelle_bati"": 70.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": 82.0, ""nb_lignes"": 1}, {""date_mutation"": ""2022-08-12"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 240000.0, ""surface_reelle_bati"": 70.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": 82.0, ""nb_lignes"": 1}]"
13207,MARSEILLE 7EME,13007,"21 IMP DU RIFF, 13007 MARSEILLE 7EME",830,H,30,132078300H0030,21.0,,IMP,DU RIFF,75.0,2,2021-01-15,2021-08-23,220,0.6,550000.0,720000.0,7333.0,9600.0,30.9,56.4,"[{""date_mutation"": ""2021-01-15"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 550000.0, ""surface_reelle_bati"": 75.0, ""nombre_pieces_principales"": 2.0, ""surface_terrain"": 203.0, ""nb_lignes"": 1}, {""date_mutation"": ""2021-08-23"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 720000.0, ""surface_reelle_bati"": 75.0, ""nombre_pieces_principales"": 2.0, ""surface_terrain"": 203.0, ""nb_lignes"": 1}]"
13207,MARSEILLE 7EME,13007,"19 RUE BERLE, 13007 MARSEILLE 7EME",829,L,42,132078290L0042,19.0,,RUE,BERLE,46.0,2,2021-01-29,2023-07-06,888,2.43,380000.0,1118710.0,8261.0,24320.0,194.4,55.9,"[{""date_mutation"": ""2021-01-29"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 380000.0, ""surface_reelle_bati"": 46.0, ""nombre_pieces_principales"": 2.0, ""surface_terrain"": null, ""nb_lignes"": 1}, {""date_mutation"": ""2023-07-06"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 1118710.0, ""surface_reelle_bati"": 46.0, ""nombre_pieces_principales"": 2.0, ""surface_terrain"": null, ""nb_lignes"": 1}]"
13206,MARSEILLE 6EME,13006,"43 RUE DE LA MARTINIQUE, 13006 MARSEILLE 6EME",828,H,238,132068280H0238,43.0,,RUE,DE LA MARTINIQUE,63.0,2,2024-04-04,2025-06-20,442,1.21,345000.0,588550.0,5476.0,9342.0,70.6,55.5,"[{""date_mutation"": ""2024-04-04"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 345000.0, ""surface_reelle_bati"": 63.0, ""nombre_pieces_principales"": 2.0, ""surface_terrain"": null, ""nb_lignes"": 1}, {""date_mutation"": ""2025-06-20"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 588550.0, ""surface_reelle_bati"": 63.0, ""nombre_pieces_principales"": 2.0, ""surface_terrain"": null, ""nb_lignes"": 1}]"
13212,MARSEILLE 12EME,13012,"18 AV DE KALLISTE, 13012 MARSEILLE 12EME",873,B,130,132128730B0130,18.0,,AV,DE KALLISTE,120.0,2,2023-10-09,2024-11-05,393,1.08,498000.0,800000.0,4150.0,6667.0,60.6,55.4,"[{""date_mutation"": ""2023-10-09"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 498000.0, ""surface_reelle_bati"": 120.0, ""nombre_pieces_principales"": 5.0, ""surface_terrain"": 641.0, ""nb_lignes"": 1}, {""date_mutation"": ""2024-11-05"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 800000.0, ""surface_reelle_bati"": 120.0, ""nombre_pieces_principales"": 5.0, ""surface_terrain"": 641.0, ""nb_lignes"": 1}]"
13212,MARSEILLE 12EME,13012,"19 MTE DU COLOMBIER, 13012 MARSEILLE 12EME",878,O,43,132128780O0043,19.0,,MTE,DU COLOMBIER,112.0,2,2022-09-09,2023-12-05,452,1.24,170000.0,290000.0,1518.0,2589.0,70.6,54.0,"[{""date_mutation"": ""2022-09-09"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 170000.0, ""surface_reelle_bati"": 112.0, ""nombre_pieces_principales"": 2.0, ""surface_terrain"": 187.0, ""nb_lignes"": 2}, {""date_mutation"": ""2023-12-05"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 290000.0, ""surface_reelle_bati"": 112.0, ""nombre_pieces_principales"": 2.0, ""surface_terrain"": 577.0, ""nb_lignes"": 2}]"
13206,MARSEILLE 6EME,13006,"66 RUE DE LA MARTINIQUE, 13006 MARSEILLE 6EME",828,K,208,132068280K0208,66.0,,RUE,DE LA MARTINIQUE,76.0,2,2022-10-04,2023-06-09,248,0.68,420000.0,560000.0,5526.0,7368.0,33.3,52.8,"[{""date_mutation"": ""2022-10-04"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 420000.0, ""surface_reelle_bati"": 76.0, ""nombre_pieces_principales"": 5.0, ""surface_terrain"": 114.0, ""nb_lignes"": 1}, {""date_mutation"": ""2023-06-09"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 560000.0, ""surface_reelle_bati"": 76.0, ""nombre_pieces_principales"": 5.0, ""surface_terrain"": 114.0, ""nb_lignes"": 1}]"
13215,MARSEILLE 15EME,13015,"17 BD AUGUSTIN, 13015 MARSEILLE 15EME",903,A,258,132159030A0258,17.0,,BD,AUGUSTIN,126.0,2,2020-09-28,2021-10-15,382,1.05,206000.0,320000.0,1635.0,2540.0,55.3,52.4,"[{""date_mutation"": ""2020-09-28"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 206000.0, ""surface_reelle_bati"": 126.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 834.0, ""nb_lignes"": 1}, {""date_mutation"": ""2021-10-15"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 320000.0, ""surface_reelle_bati"": 126.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 834.0, ""nb_lignes"": 1}]"
13211,MARSEILLE 11EME,13011,"24 B IMP DE LA MONTRE, 13011 MARSEILLE 11EME",867,E,56,132118670E0056,24.0,B,IMP,DE LA MONTRE,76.0,2,2022-10-10,2025-04-04,907,2.48,281000.0,770000.0,3697.0,10132.0,174.0,50.1,"[{""date_mutation"": ""2022-10-10"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 281000.0, ""surface_reelle_bati"": 76.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": 566.0, ""nb_lignes"": 1}, {""date_mutation"": ""2025-04-04"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 770000.0, ""surface_reelle_bati"": 76.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": 566.0, ""nb_lignes"": 1}]"
13211,MARSEILLE 11EME,13011,"5139 F CHE DE PLUVENCE, 13011 MARSEILLE 11EME",869,A,388,132118690A0388,5139.0,F,CHE,DE PLUVENCE,172.0,2,2022-12-22,2024-12-19,728,1.99,980000.0,2193614.0,5698.0,12754.0,123.8,49.8,"[{""date_mutation"": ""2022-12-22"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 980000.0, ""surface_reelle_bati"": 172.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 10955.0, ""nb_lignes"": 4}, {""date_mutation"": ""2024-12-19"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 2193614.0, ""surface_reelle_bati"": 172.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 10955.0, ""nb_lignes"": 4}]"
